Name,Quelle,Gruppe,Volk,Klasse,Stufe,Fähigkeiten,Upgrade,KÖR,AGI,GEI,ST,BE,VE,HÄ,GE,AU,Lebenskraft,Initiative,Laufen,Abwehr,Schlagen,Schiessen,Zauber,Zielzauber,GH,GK,EP,Talente,Fähigkeiten Schlüssel,Waffen,Panzerung,Ausrüstung,Zaubersprüche
Apokalpytischer Reiter der Pestilenz,Slay! #3,Untote,,,,,Anführer,12,15,10,5,7,5,5,7,5,108,22,9,22,23,22,,,17,gr,462,Wesen der Dunkelheit (Settingoption),Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description,"Peitsche (WB+4, GA-4)",Umhang (PA+3),,
Apokalpytischer Reiter des Hungers,Slay! #3,Untote,,,,,Anführer,15,10,10,7,5,5,7,5,5,128,15,6.5,26,28,15,,,22,gr,476,Wesen der Dunkelheit (Settingoption),Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description,"Flegel (WB+4, GA-3)",Dicke Haut (PA+2),,
Apokalpytischer Reiter des Kriegs,Slay! #3,Untote,,,,,Anführer,20,8,10,7,5,5,10,3,5,160,12,4,37,33,11,,,32,gr,654,Wesen der Dunkelheit (Settingoption),Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description,"Kriegsaxt (WB+4, GA-8)","Plattenpanzer (PA+3, LA-1), Metallhelm (PA+1, INI-1), Metallschild (PA+1, LA-0.5)",,
Apokalpytischer Reiter des Todes,Slay! #3,Untote,,,,,Anführer,12,12,12,6,6,6,6,6,6,112,18,7.5,22,25,18,,,18,gr,452,Wesen der Dunkelheit (Settingoption),Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description,"Sense (WB+5, GA-3)",Dicke Haut (PA+2),,
Apokalpytisches Ross,Slay! #3,Tiere,,,,,,12,10,2,4,4,0,3,0,0,75,14,9.5,15,18,10,,,13,gr,162,"Angst, Fliegen, Geistesimmun, Wesen der Dunkelheit (Settingoption)","Angst: DS4CreatureTalent.fear2.description, Fliegen: DS4CreatureTalent.fly.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",Huf (WB+2),,,
Arbeiter,Lockruf aus der Finsternis,Mensch,Mensch,KRI,1,Talentiert,,8,7,5,5,1,0,3,1,0,21,8,4.5,11,15,8,,,2,no,53,,,Werkzeug (WB+2),,,
Arcuna,Das Umbarla-Becken,Mensch,Mensch,Hei,2,Talentiert,,5,7,8,0,0,3,0,4,5,15,7,4.5,5,5,11,13,,1,no,50,"Alchemie II, Fürsorger I, Magieresistent I, Wissensgebiet I, Wissensgebiet I, Wissensgebiet I","Alchemie II: DS4Talent.alchemie.description, Fürsorger I: DS4Talent.welfare.description, Magieresistent I: DS4Talent.magicresistent.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description",,,"Kette (Gift trotzen +3), Stab (Aura +1, Zauber: Wolke der Reue eingebettet)","Giftschutz (+1), Heilbeeren (+1), Tiere besänftigen (-LK/5)"
Arken Beijl,D2GO #6,Mensch,Mensch,DÄM,15,Talentiert,,4,6,8,0,1,7,4,4,8,27,8,4,10,6,10,16,14,1,no,108,"Einstecker III, Zaubermacht III, Verheerer II, Abklingen I","Einstecker III: DS4Talent.endurance.description, Zaubermacht III: DS4Talent.powerofmagic.description, Verheerer II: DS4Talent.ravage.description, Abklingen I: DS4Talent.cooldown.description","mag. Kampfstab (2h) +1 (WB+2, INI+1, GA-1, Zielzauber +1, Zielzauber +1)","mag. Robe (runenbestickt) +2 (PA+2, Verstand +1, Aura +1)","Ring (Zauber: Versetzen eingebettet, Abklingzeit 3x täglich ignorieren), Stab (Zauber: Feuerball als Zauberstab)","Feuerball (+3), Feuerlanze (+2), Flammeninferno (+5), Fliegen (0), Glühender Glaube (-2), Niesanfall (-(KÖR+AU)/2), Schutzschild (0), Terror (-(GEI+VE)/2)"
Ascheelf Krieger,Slayerforum,Elf,Elf,KRI,1,"Nachtsicht, Unsterblich, Leichtfüßig",,8,6,6,2,2,2,2,2,0,20,9,3,12,13,8,,,1,no,54,"Diener der Dunkelheit II, Wissensgebiet II, Kämpfer I","Diener der Dunkelheit II: DS4Talent.servantofdarkness.description, Wissensgebiet II: DS4Talent.knowledge.description, Kämpfer I: DS4Talent.fighter.description","Langschwert (WB+2), Dolch (INI+1)","Plattenarmschienen (PA+1, LA-0.5), Plattenbeinschienen (PA+1, LA-0.5)",,
Ascheelf Rächer,Slayerforum,Elf,Elf,Sch,1,"Nachtsicht, Unsterblich, Leichtfüßig",,6,6,8,2,2,2,2,2,1,18,9,4,8,9,8,,12,1,no,53,"Diener der Dunkelheit II, Wissensgebiet II, Manipulator I, Zaubermacht I","Diener der Dunkelheit II: DS4Talent.servantofdarkness.description, Wissensgebiet II: DS4Talent.knowledge.description, Manipulator I: DS4Talent.manipulator.description, Zaubermacht I: DS4Talent.powerofmagic.description","Kampfstab (2h) (WB+1, Zielzauber +1), Dolch (INI+1)",Robe,,Feuerstrahl (+1)
Ascheelf Späher,Slayerforum,Elf,Elf,SPÄ,1,"Nachtsicht, Unsterblich, Leichtfüßig",,6,8,6,2,2,2,2,2,0,18,11,5,9,8,12,,,1,no,51,"Diener der Dunkelheit II, Wissensgebiet II, Akrobat I, Heimlichkeit I","Diener der Dunkelheit II: DS4Talent.servantofdarkness.description, Wissensgebiet II: DS4Talent.knowledge.description, Akrobat I: DS4Talent.acrobatic.description, Heimlichkeit I: DS4Talent.creepy.description","Langbogen (2h) (WB+2, INI+1), Dolch (INI+1)",Lederschienen (Arm & Bein) (PA+1),,
Asphyx,Slay! #3,Untote,,,,,,4,11,0,3,3,0,1,1,0,4,14,6.5,13,9,12,,,11,wi,169,"Dunkelsicht, Fliegen, Geistesimmun, Natürliche Waffen, Nur durch Magie verletzbar, Umschlingen, Werteverlust, Wesen der Dunkelheit (Settingoption)","Dunkelsicht: DS4CreatureTalent.darkvision.description, Fliegen: DS4CreatureTalent.fly.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Nur durch Magie verletzbar: DS4CreatureTalent.vulnerablewithmagic.description, Umschlingen: DS4CreatureTalent.entangle.description, Werteverlust: DS4CreatureTalent.losskor.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Geisterklaue (WB+2, GA-2)",Körperlos (PA+8),,
Augenball,Dungeonslayers Basisbox,Magische Wesen,,,,,,8,4,10,0,0,2,4,2,3,44,4,3.5,14,8,6,13,12,13,gr,218,"Mehrere Angriffe (+4), Antimagie, Dunkelsicht, Mehrere Angriffsglieder, Schweben, Wesen der Dunkelheit (Settingoption)","Mehrere Angriffe (+4): DS4CreatureTalent.multipleattackseyeball.description, Antimagie: DS4CreatureTalent.antimagie.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Mehrere Angriffsglieder: DS4CreatureTalent.multipleweaponseyeball.description, Schweben: DS4CreatureTalent.float.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",,Warzenhaut (PA+2),,"Blenden (-(AGI+AU)/2), Einschläfern (-(KÖR+VE)/2), Gehorche (-(GEI+VE)/2), Kettenblitz (+3), Schleudern (-(KÖR+AU)/2), Schutzfeld (0), Schutzschild (0), Telekinese (-1/Stufe x5 kg), Unsichtbarkeit (0), Verwirren (-(GEI+AU)/2)"
Baby Monsterspinne,Trächtige Wildsau,Tiere,,,,,,6,6,1,2,4,0,1,3,0,13,10,6,8,9,11,,,3,kl,75,"Kletterläufer, Lähmungseffekt, Natürliche Waffen","Kletterläufer: DS4CreatureTalent.climb.description, Lähmungseffekt: DS4CreatureTalent.paralyse.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description","Netzflüssigkeit (WB+2), Spinnenbiss (WB+1)",Chitinpanzer (PA+1),,
Barex,SC2GO,Zwerg,Zwerg,KRI,1,"Dunkelsicht, Langlebig, Zäh",,8,8,4,3,0,0,5,2,0,26,5,4.5,17,14,12,,,3,no,64,Einstecker I,Einstecker I: DS4Talent.endurance.description,"Streitaxt (2h) (WB+3, INI-2), Armbrust, leicht (2h) (WB+2, INI-2)","Kettenpanzer (PA+2, LA-0.5), Metallhelm (PA+1, INI-1)",,
Basilisk,Dungeonslayers Basisbox,Magische Wesen,,,,,,14,7,1,3,3,0,4,0,1,84,10,7.5,20,19,7,,,18,gr,206,"Blickangriff, Nachtsicht, Natürliche Waffen, Versteinern","Blickangriff: DS4CreatureTalent.sightattack.description, Nachtsicht: DS4CreatureTalent.nightvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Versteinern: DS4CreatureTalent.petrify.description","Großer Biss (WB+2, GA-2)",Schuppenpanzer (PA+2),,
Baumgolem,Der verdorbene Baumherr,Konstrukte,,,,,,10,4,4,6,0,0,2,0,0,44,4,3.5,16,18,4,,,9,gr,98,"Mehrere Angriffe (+1), Anfällig, Geistesimmun","Mehrere Angriffe (+1): DS4CreatureTalent.multipleattacks1.description, Anfällig: DS4CreatureTalent.weaknessfire.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description",Asthiebe (WB+2),Dicke Rinde (PA+4),,
Baumherr,Dungeonslayers Basisbox,Pflanzenwesen,,,,,,20,1,1,5,0,0,5,0,0,70,1,2,27,27,1,,,23,gr,157,"Mehrere Angriffe (+3), Anfällig, Nachtsicht, Natürliche Waffen, Schleudern","Mehrere Angriffe (+3): DS4CreatureTalent.multipleattackstree.description, Anfällig: DS4CreatureTalent.weaknessfire.description, Nachtsicht: DS4CreatureTalent.nightvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Schleudern: DS4CreatureTalent.throw.description",Asthiebe (WB+2),Dicke Rinde (PA+2),,
Belgor,D2GO #1,Mensch,Mensch,KRI,1,Talentiert,,8,8,2,4,2,1,2,2,0,20,11,4.5,12,14,11,,,1,no,54,,,"Langschwert (WB+2), Kurzbogen (2h) (WB+1, INI+1)","Kettenpanzer (PA+2, LA-0.5)",,
Bergzwergischer Söldner,Slayerforum,Zwerg,Zwerg,KRI,1,"Dunkelsicht, Langlebig, Zäh",,8,8,4,4,1,0,5,0,0,26,4,5,16,16,8,,,5,no,61,"Einstecker I, Kämpfer I, Schlachtruf I, Waffenkenner I","Einstecker I: DS4Talent.endurance.description, Kämpfer I: DS4Talent.fighter.description, Schlachtruf I: DS4Talent.battlecry.description, Waffenkenner I: DS4Talent.weaponsadept.description","Streithammer (2h) (WB+3, INI-4)","Lederpanzer (PA+1), Metallhelm (PA+1, INI-1)",,
Berna-Priesterin,Slayerforum,Halbling,Halbling,SPÄ,1,"Geschwind, Klein, Leichtfüßig, Magisch unbegabt, Talentiert, Zäher als sie aussehen",,5,8,7,0,0,2,1,3,4,16,11,5,7,5,13,,,1,kl,48,"Diener des Lichts I, Magieresistent I, Schütze I, Wissensgebiet I, Wissensgebiet I, Wissensgebiet I","Diener des Lichts I: DS4Talent.servantoflight.description, Magieresistent I: DS4Talent.magicresistent.description, Schütze I: DS4Talent.shooter.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description","Kurzbogen (2h) (WB+1, INI+1)",Lederpanzer (PA+1),,
Billiger Söldner,Trächtige Wildsau,Mensch,Mensch,KRI,1,Talentiert,,8,8,4,4,2,0,2,2,0,20,9,5,13,14,11,,,2,no,54,"Kämpfer I, Parade I","Kämpfer I: DS4Talent.fighter.description, Parade I: DS4Talent.parade.description",Speer (WB+1),"Lederpanzer (PA+1), Metallhelm (PA+1, INI-1)",,
Blasaminator,Die Pyramide des Eck Wan,Konstrukte,,,,,,18,4,4,4,0,0,5,2,0,66,4,3.5,28,26,6,,,26,gr,191,"Mehrere Angriffe (+3), Dunkelsicht, Geistesimmun, Mehrere Angriffsglieder (+3), Schleudern, Sturmangriff","Mehrere Angriffe (+3): DS4CreatureTalent.multipleattacks3.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Mehrere Angriffsglieder (+3): DS4CreatureTalent.multipleweapons3.description, Schleudern: DS4CreatureTalent.throw.description, Sturmangriff: DS4CreatureTalent.charge.description",Werkzeug (WB+4),Steinwesen (PA+5),,
Blob,Die Hallen der Reinigung,Magische Wesen,,,,,,10,8,1,0,0,0,4,4,0,36,8,7.5,14,12,16,,,7,no,99,"Gift, Anfällig, Kletterläufer, Regeneration","Gift: DS4CreatureTalent.poison.description, Anfällig: DS4CreatureTalent.weaknessfire.description, Kletterläufer: DS4CreatureTalent.climb.description, Regeneration: DS4CreatureTalent.regeneration.description","Säurestrahl (WB+4), Säurestoß (WB+2, GA-2)",,,
Bosker Sturmkrähe (Söldner),Slayerforum,Mensch,Mensch,KRI,1,Talentiert,,8,8,4,4,1,0,4,1,0,22,9,5,15,14,10,,,2,no,56,"Diebeskunst I, Kämpfer I, Parade I, Schlitzohr I, Wissensgebiet I, Wissensgebiet I","Diebeskunst I: DS4Talent.thief.description, Kämpfer I: DS4Talent.fighter.description, Parade I: DS4Talent.parade.description, Schlitzohr I: DS4Talent.rascal.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description","Speer (WB+1), Kurzschwert (WB+1)","Lederpanzer (PA+1), Holzschild (PA+1)",,
Brambel,Der Kult des Snarrk'Izz,Mensch,Mensch,SPÄ,0,Talentiert,,6,8,6,0,3,1,2,10,0,18,9,5,10,6,20,,,1,no,58,"Ausweichen III, Heimlichkeit III, Schlitzohr III, Wissensgebiet II, Handwerk I","Ausweichen III: DS4Talent.evasion.description, Heimlichkeit III: DS4Talent.creepy.description, Schlitzohr III: DS4Talent.rascal.description, Wissensgebiet II: DS4Talent.knowledge.description, Handwerk I: DS4Talent.craft.description","Armbrust, leicht (2h) (WB+2, INI-2)",mag. Lederpanzer +1 (PA+2),,
Brasko,Das Umbarla-Becken,Mensch,Mensch,KRI,3,Talentiert,,7,6,7,4,0,2,4,0,4,21,6,4,16,13,6,,,3,no,59,"Parade III, Ausweichen I, Schlachtruf I, Wissensgebiet I, Wissensgebiet I","Parade III: DS4Talent.parade.description, Ausweichen I: DS4Talent.evasion.description, Schlachtruf I: DS4Talent.battlecry.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description","Krummschwert (WB+2, Sehnenschneider +I, Verletzen +I)","mag. Holzschild +1 (PA+2, Zauber: Flackern eingebettet)","Stirnreif (Aura +2, Charmant +I, Schlitzohr +I)",
Brutac,SC2GO,Mensch,Mensch,KRI,1,Talentiert,,8,7,5,4,0,0,4,2,0,22,7,4,15,15,9,,,4,no,57,Kämpfer I,Kämpfer I: DS4Talent.fighter.description,Langschwert (WB+2),"Kettenpanzer (PA+2, LA-0.5), Holzschild (PA+1)",,
Bulegor,Das Umbarla-Becken,Zwerg,Zwerg,KRI,8,"Dunkelsicht, Langlebig, Zäh",,8,6,6,2,0,2,9,1,0,27,7,3.5,27,14,7,,,10,no,79,"Ausweichen III, Blocker III, Parade III, Wissensgebiet III, Handwerk II, Kämpfer II, Wissensgebiet II","Ausweichen III: DS4Talent.evasion.description, Blocker III: DS4Talent.blocker.description, Parade III: DS4Talent.parade.description, Wissensgebiet III: DS4Talent.knowledge.description, Handwerk II: DS4Talent.craft.description, Kämpfer II: DS4Talent.fighter.description, Wissensgebiet II: DS4Talent.knowledge.description","mag. Hammer +1 (WB+2, INI+1, GA-2)","Kettenpanzer (PA+2, LA-0.5), mag. Metallschild +1 (PA+2), mag. Metallhelm +1 (PA+2)",,
Bär,Dungeonslayers Basisbox,Tiere,,,,,,12,8,1,3,4,0,3,0,0,75,12,8,16,17,8,,,9,gr,139,"Natürliche Waffen, Sturmangriff","Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturmangriff: DS4CreatureTalent.charge.description","Pranke (WB+2, GA-2)",Fell (PA+1),,
Caerner Freibeuter,Slayerforum,Mensch,Mensch,KRI,1,Talentiert,,8,7,5,3,2,0,4,1,0,25,9,5.5,13,13,8,,,2,no,57,"Akrobat I, Einstecker I, Flink I, Kämpfer I, Schwimmen I, Wissensgebiet I","Akrobat I: DS4Talent.acrobatic.description, Einstecker I: DS4Talent.endurance.description, Flink I: DS4Talent.fast.description, Kämpfer I: DS4Talent.fighter.description, Schwimmen I: DS4Talent.swimming.description, Wissensgebiet I: DS4Talent.knowledge.description",Kurzschwert (WB+1),Lederpanzer (PA+1),,
Casius,SC2GO,Mensch,Mensch,Hei,1,Talentiert,,6,6,8,1,0,3,2,0,5,18,6,4,8,8,6,14,,1,no,63,"Ausweichen I, Bildung I","Ausweichen I: DS4Talent.evasion.description, Bildung I: DS4Talent.education.description","Streitkolben (WB+1, GA-1)",Robe (runenbestickt) (Aura +1),,Heilende Hand (+1)
Chalog Omesch,Chalog Omesch,Elf,Elf,SPÄ,14,"Nachtsicht, Unsterblich, Leichtfüßig",,5,7,8,0,3,4,2,8,0,17,14,4.5,10,5,21,,,1,no,61,"Wahrnehmung V, Heimlichkeit III, Jäger III, Bildung III, Diebeskunst II, Fieser Schuss II, Schütze II, Schnelle Reflexe II, Runenkunde I, In Deckung I, Diener des Lichts I, Wissensgebiet I, Wissensgebiet I, Wissensgebiet I, Wissensgebiet I, Wissensgebiet I","Wahrnehmung V: DS4Talent.perception.description, Heimlichkeit III: DS4Talent.creepy.description, Jäger III: DS4Talent.hunter.description, Bildung III: DS4Talent.education.description, Diebeskunst II: DS4Talent.thief.description, Fieser Schuss II: DS4Talent.meanshot.description, Schütze II: DS4Talent.shooter.description, Schnelle Reflexe II: DS4Talent.quickreflexes.description, Runenkunde I: DS4Talent.runeknowledge.description, In Deckung I: DS4Talent.takecover.description, Diener des Lichts I: DS4Talent.servantoflight.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description","mag. Armbrust, leicht (2h) +2 (WB+4, GA-2, Verletzen +II)","mag. Lederpanzer +2 (PA+3, Zauber: Balancieren eingebettet)","Kompass (Zauber: Magie entdecken eingebettet, Zauber: Verborgenes sehen eingebettet)",
Chien Kwan,D2GO #17,Mensch,Mensch,Zau,5,Talentiert,,8,4,8,1,0,3,1,5,4,28,4,3,10,10,9,12,14,1,no,76,"Einstecker III, Zaubermacht III","Einstecker III: DS4Talent.endurance.description, Zaubermacht III: DS4Talent.powerofmagic.description","Kampfstab (2h) (WB+1, Zielzauber +1)","mag. Robe (runenbestickt) +1 (PA+1, Aura +1)",,"Feuerlanze (+2), Feuerstrahl (+1), Verteidigung (0), Zaubertrick (0), Öffnen (-SW)"
Chio-Puan Wandermönch,Slayerforum,Mensch,Mensch,Hei,1,Talentiert,,7,5,8,3,0,2,1,1,4,18,5,3.5,8,11,6,14,,1,no,54,"Bildung I, Fürsorger I, Waffenloser Meister I, Wahrnehmung I, Wissensgebiet I","Bildung I: DS4Talent.education.description, Fürsorger I: DS4Talent.welfare.description, Waffenloser Meister I: DS4Talent.masterofunarmed.description, Wahrnehmung I: DS4Talent.perception.description, Wissensgebiet I: DS4Talent.knowledge.description","Kampfstab (2h) (WB+1, Zielzauber +1)",Robe (runenbestickt) (Aura +1),,Heilende Hand (+2)
Copperntaler Milizionär,Slayerforum,Halbling,Halbling,KRI,1,"Geschwind, Klein, Leichtfüßig, Magisch unbegabt, Talentiert, Zäher als sie aussehen",,8,7,5,4,2,1,2,1,0,20,12,4.5,13,14,9,,,1,kl,54,"Instrument I, Kämpfer I, Parade I, Schlitzohr I, Wissensgebiet I, Wissensgebiet I","Instrument I: DS4Talent.instrument.description, Kämpfer I: DS4Talent.fighter.description, Parade I: DS4Talent.parade.description, Schlitzohr I: DS4Talent.rascal.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description","Speer (WB+1), Dolch (INI+1)","Lederpanzer (PA+1), Holzschild (PA+1)",,
Cranag der Wanderer,Das Umbarla-Becken,Mensch,Mensch,WAM,12,Talentiert,,8,6,6,11,1,0,7,0,2,34,7,4,21,27,6,,,14,no,126,"Einstecker III, Kämpfer III, Jäger I, Brutaler Hieb I, Perfektion I, Prügler I, Sensenspötter I, Standhaft I, Tod entrinnen I, Waffenkenner I, Wissensgebiet I, Wissensgebiet I","Einstecker III: DS4Talent.endurance.description, Kämpfer III: DS4Talent.fighter.description, Jäger I: DS4Talent.hunter.description, Brutaler Hieb I: DS4Talent.brutalstrike.description, Perfektion I: DS4Talent.perfektion.description, Prügler I: DS4Talent.birching.description, Sensenspötter I: DS4Talent.scythederider.description, Standhaft I: DS4Talent.steady.description, Tod entrinnen I: DS4Talent.escapedeath.description, Waffenkenner I: DS4Talent.weaponsadept.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description","mag. Bihänder (2h) +2 (WB+5, GA-6, Panzerung zerschmettern +II, Verletzen +II)","mag. Lederschienen (Arm & Bein) +2 (PA+3), mag. Lederpanzer +2 (PA+3)",,
